C1	0.000000000
C2	0.000000000
C3	0.000000000
C4	0.000000000
C5	0.000000000
C6	0.000000000
C7	0.000000000
C8	0.000000000
C9	0.000000000
C10	0.000002947
C11	0.000002655
C12	0.000002532
C13	0.000002570
C14	0.000002782
C15	0.000003234
C16	0.000004038
C17	0.000005420
C18	0.000007830
C19	0.000012220
C20	0.000020457
C21	0.000036830
C22	0.000070651
C23	0.000144195
C24	0.000311605
C25	0.000708926
C26	0.001685970
C27	0.004148081
C28	0.010347379
C29	0.024871823
C30	0.051217860
C31	0.079090839
C32	0.093656193
C33	0.095309158
C34	0.089935140
C35	0.081506588
C36	0.072085751
C37	0.062719680
C38	0.053936605
C39	0.045982721
C40	0.038943920
C41	0.032814787
C42	0.027540452
C43	0.023041439
C44	0.019229802
C45	0.016017053
C46	0.013315841
C47	0.011056546
C48	0.009184145
C49	0.007605159
C50	0.006298030
C51	0.005222996
C52	0.004322984
C53	0.003570165
C54	0.002951123
C55	0.002451827
C56	0.002027221
C57	0.001677888
C58	0.001382799
C59	0.001142228
C60	0.000944116
C61	0.000780932
C62	0.000645005
